row_type,condition,prompt_id,seed,audio_path,raw_prompt,prompt_text,reasoning,reasoning_tags,structured_json,loudness_variance,spectral_centroid_variance,embedding_similarity,fad,loudness_variance_mean,loudness_variance_variance,spectral_centroid_variance_mean,spectral_centroid_variance_variance,embedding_similarity_mean,embedding_similarity_variance,fad_mean,fad_variance
per_audio,baseline,nature,1000,outputs/baseline/baseline_nature_1000.wav,"forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere","forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere",,,,0.00023047981085255742,2094069.8377768022,,,,,,,,,,
per_audio,baseline,nature,1001,outputs/baseline/baseline_nature_1001.wav,"forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere","forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere",,,,0.0003525711945258081,217378.30076882005,,,,,,,,,,
per_audio,baseline,nature,1002,outputs/baseline/baseline_nature_1002.wav,"forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere","forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere",,,,0.0010240310803055763,310809.9990870698,,,,,,,,,,
per_audio,baseline,nature,1003,outputs/baseline/baseline_nature_1003.wav,"forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere","forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere",,,,0.00015843519940972328,650808.4966923408,,,,,,,,,,
per_audio,baseline,nature,1004,outputs/baseline/baseline_nature_1004.wav,"forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere","forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere",,,,0.0005167247145436704,428026.050426882,,,,,,,,,,
per_audio,structured,nature,1000,outputs/structured/structured_nature_1000.wav,"forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere","Environment: forest | Time: | Weather: light wind | Sounds: birds chirping; leaves rustling | Spatial: open; mid; wide | Temporal: static; sparse | Acoustics: | Mood: calm | Style: | Details: | Quality: high-quality, stereo",,,"{""temporal_evolution"": ""static"", ""immersion_level"": ""background"", ""distance_profile"": ""mid"", ""looping"": """", ""audio_type"": ""AMBIENCE"", ""event_density"": ""sparse"", ""sao_prompt"": ""Environment: forest | Time: | Weather: light wind | Sounds: birds chirping; leaves rustling | Spatial: open; mid; wide | Temporal: static; sparse | Acoustics: | Mood: calm | Style: | Details: | Quality: high-quality, stereo"", ""duration_hint"": """", ""sound_sources_primary"": ""birds chirping"", ""weather"": ""light wind"", ""background_textures"": """", ""recording_style"": """", ""spatial_characteristics"": ""open"", ""sound_sources_secondary"": ""leaves rustling"", ""negative_prompt"": """", ""stereo_width"": ""wide"", ""acoustic_properties"": """", ""mood"": ""calm"", ""environment"": ""forest"", ""time_of_day"": """"}",0.00013770879013463855,2056575.8055910333,,,,,,,,,,
per_audio,structured,nature,1001,outputs/structured/structured_nature_1001.wav,"forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere","Environment: forest | Time: | Weather: light wind | Sounds: birds chirping; leaves rustling | Spatial: open; mid; wide | Temporal: static; sparse | Acoustics: | Mood: calm | Style: | Details: | Quality: high-quality, stereo",,,"{""temporal_evolution"": ""static"", ""immersion_level"": ""background"", ""distance_profile"": ""mid"", ""looping"": """", ""audio_type"": ""AMBIENCE"", ""event_density"": ""sparse"", ""sao_prompt"": ""Environment: forest | Time: | Weather: light wind | Sounds: birds chirping; leaves rustling | Spatial: open; mid; wide | Temporal: static; sparse | Acoustics: | Mood: calm | Style: | Details: | Quality: high-quality, stereo"", ""duration_hint"": """", ""sound_sources_primary"": ""birds chirping"", ""weather"": ""light wind"", ""background_textures"": """", ""recording_style"": """", ""spatial_characteristics"": ""open"", ""sound_sources_secondary"": ""leaves rustling"", ""negative_prompt"": """", ""stereo_width"": ""wide"", ""acoustic_properties"": """", ""mood"": ""calm"", ""environment"": ""forest"", ""time_of_day"": """"}",4.45439072791487e-05,9860043.431891043,,,,,,,,,,
per_audio,structured,nature,1002,outputs/structured/structured_nature_1002.wav,"forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere","Environment: forest | Time: | Weather: light wind | Sounds: birds chirping; leaves rustling | Spatial: open; mid; wide | Temporal: static; sparse | Acoustics: | Mood: calm | Style: | Details: | Quality: high-quality, stereo",,,"{""temporal_evolution"": ""static"", ""immersion_level"": ""background"", ""distance_profile"": ""mid"", ""looping"": """", ""audio_type"": ""AMBIENCE"", ""event_density"": ""sparse"", ""sao_prompt"": ""Environment: forest | Time: | Weather: light wind | Sounds: birds chirping; leaves rustling | Spatial: open; mid; wide | Temporal: static; sparse | Acoustics: | Mood: calm | Style: | Details: | Quality: high-quality, stereo"", ""duration_hint"": """", ""sound_sources_primary"": ""birds chirping"", ""weather"": ""light wind"", ""background_textures"": """", ""recording_style"": """", ""spatial_characteristics"": ""open"", ""sound_sources_secondary"": ""leaves rustling"", ""negative_prompt"": """", ""stereo_width"": ""wide"", ""acoustic_properties"": """", ""mood"": ""calm"", ""environment"": ""forest"", ""time_of_day"": """"}",0.00034965446684509516,1968690.8643909572,,,,,,,,,,
per_audio,structured,nature,1003,outputs/structured/structured_nature_1003.wav,"forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere","Environment: forest | Time: | Weather: light wind | Sounds: birds chirping; leaves rustling | Spatial: open; mid; wide | Temporal: static; sparse | Acoustics: | Mood: calm | Style: | Details: | Quality: high-quality, stereo",,,"{""temporal_evolution"": ""static"", ""immersion_level"": ""background"", ""distance_profile"": ""mid"", ""looping"": """", ""audio_type"": ""AMBIENCE"", ""event_density"": ""sparse"", ""sao_prompt"": ""Environment: forest | Time: | Weather: light wind | Sounds: birds chirping; leaves rustling | Spatial: open; mid; wide | Temporal: static; sparse | Acoustics: | Mood: calm | Style: | Details: | Quality: high-quality, stereo"", ""duration_hint"": """", ""sound_sources_primary"": ""birds chirping"", ""weather"": ""light wind"", ""background_textures"": """", ""recording_style"": """", ""spatial_characteristics"": ""open"", ""sound_sources_secondary"": ""leaves rustling"", ""negative_prompt"": """", ""stereo_width"": ""wide"", ""acoustic_properties"": """", ""mood"": ""calm"", ""environment"": ""forest"", ""time_of_day"": """"}",7.701867434661835e-05,8274522.631264688,,,,,,,,,,
per_audio,structured,nature,1004,outputs/structured/structured_nature_1004.wav,"forest ambience, birds chirping, light wind, leaves rustling, calm atmosphere","Environment: forest | Time: | Weather: light wind | Sounds: birds chirping; leaves rustling | Spatial: open; mid; wide | Temporal: static; sparse | Acoustics: | Mood: calm | Style: | Details: | Quality: high-quality, stereo",,,"{""temporal_evolution"": ""static"", ""immersion_level"": ""background"", ""distance_profile"": ""mid"", ""looping"": """", ""audio_type"": ""AMBIENCE"", ""event_density"": ""sparse"", ""sao_prompt"": ""Environment: forest | Time: | Weather: light wind | Sounds: birds chirping; leaves rustling | Spatial: open; mid; wide | Temporal: static; sparse | Acoustics: | Mood: calm | Style: | Details: | Quality: high-quality, stereo"", ""duration_hint"": """", ""sound_sources_primary"": ""birds chirping"", ""weather"": ""light wind"", ""background_textures"": """", ""recording_style"": """", ""spatial_characteristics"": ""open"", ""sound_sources_secondary"": ""leaves rustling"", ""negative_prompt"": """", ""stereo_width"": ""wide"", ""acoustic_properties"": """", ""mood"": ""calm"", ""environment"": ""forest"", ""time_of_day"": """"}",7.561635720776394e-05,3388593.533637959,,,,,,,,,,
